No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
33,Trevor Booker,PF,6-8,228,November 25 1987,5,Clemson University
3,Trey Burke,PG,6-1,191,November 12 1992,2,University of Michigan
10,Alec Burks,SG,6-6,214,July 20 1991,4,University of Colorado
15,Derrick Favors,PF,6-10,265,July 15 1991,5,Georgia Institute of Technology
27,Rudy Gobert,C,7-1,245,June 26 1992,2,
18,Erick Green,PG,6-4,185,May 9 1991,1,Virginia Polytechnic Institute and State University
20,Gordon Hayward,SF,6-8,226,March 23 1990,5,Butler University
5,Rodney Hood,SG,6-8,206,October 20 1992,1,Duke University
2,Joe Ingles,SF,6-8,226,October 2 1987,1,
23,Chris Johnson,SF,6-6,206,April 29 1990,3,University of Dayton
41,Trey Lyles,PF,6-10,234,November 5 1995,R,University of Kentucky
8,Shelvin Mack,PG,6-3,203,April 22 1990,4,Butler University
13,Elijah Millsap,SG,6-6,225,August 12 1987,1,University of Alabama at Birmingham
25,Raul Neto,PG,6-1,179,May 19 1992,R,
22,J.J. O'Brien,SF,6-7,228,April 8 1992,R,San Diego State University
21,Tibor Pleiss,C,7-3,256,November 2 1989,R,
24,Jeff Withey,C,7-0,231,March 7 1990,2,University of Kansas
