No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
15,Keith Appling,PG,6-1,185,February 13 1992,R,Michigan State University
3,Dewayne Dedmon,C,7-0,245,August 12 1989,2,University of Southern California
10,Evan Fournier,SF,6-7,205,October 29 1992,3,
8,Channing Frye,PF,6-11,255,May 17 1983,9,University of Arizona
00,Aaron Gordon,PF,6-9,220,September 16 1995,1,University of Arizona
12,Tobias Harris,PF,6-9,235,July 15 1992,4,University of Tennessee
23,Mario Hezonja,SF,6-8,215,February 25 1995,R,
7,Ersan Ilyasova,PF,6-10,235,May 15 1987,7,
55,Brandon Jennings,PG,6-1,169,September 23 1989,6,
11,Devyn Marble,SG,6-6,200,September 21 1992,1,University of Iowa
13,Shabazz Napier,PG,6-1,175,July 14 1991,1,University of Connecticut
44,Andrew Nicholson,PF,6-9,250,December 8 1989,3,St. Bonaventure University
5,Victor Oladipo,SG,6-4,210,May 4 1992,2,Indiana University
4,Elfrid Payton,PG,6-4,185,February 22 1994,1,University of Louisiana at Lafayette
14,Jason Smith,C,7-0,245,March 2 1986,7,Colorado State University
9,Nikola Vucevic,C,7-0,260,October 24 1990,4,University of Southern California
32,C.J. Watson,PG,6-2,175,April 17 1984,8,University of Tennessee
